"","City","ID","year","seas","variable","value"
"158","GUWAHATI / BORJHAR(A)","42410",1976,"DJF","Prec",0.481318681318681
"159","GUWAHATI / BORJHAR(A)","42410",1977,"DJF","Prec",0.293333333333333
"160","GUWAHATI / BORJHAR(A)","42410",1978,"DJF","Prec",0.0292134831460674
"161","GUWAHATI / BORJHAR(A)","42410",1979,"DJF","Prec",0.682758620689655
"162","GUWAHATI / BORJHAR(A)","42410",1980,"DJF","Prec",0.541860465116279
"163","GUWAHATI / BORJHAR(A)","42410",1981,"DJF","Prec",1.25505617977528
"164","GUWAHATI / BORJHAR(A)","42410",1982,"DJF","Prec",0.182022471910112
"165","GUWAHATI / BORJHAR(A)","42410",1983,"DJF","Prec",0.914606741573034
"166","GUWAHATI / BORJHAR(A)","42410",1984,"DJF","Prec",0.418681318681319
"167","GUWAHATI / BORJHAR(A)","42410",1985,"DJF","Prec",0.64
"168","GUWAHATI / BORJHAR(A)","42410",1986,"DJF","Prec",0.1
"169","GUWAHATI / BORJHAR(A)","42410",1987,"DJF","Prec",0.416666666666667
"170","GUWAHATI / BORJHAR(A)","42410",1988,"DJF","Prec",0.67032967032967
"171","GUWAHATI / BORJHAR(A)","42410",1989,"DJF","Prec",0.603333333333333
"172","GUWAHATI / BORJHAR(A)","42410",1990,"DJF","Prec",0.243333333333333
"173","GUWAHATI / BORJHAR(A)","42410",1991,"DJF","Prec",0.436666666666667
"174","GUWAHATI / BORJHAR(A)","42410",1992,"DJF","Prec",0.651648351648352
"175","GUWAHATI / BORJHAR(A)","42410",1993,"DJF","Prec",10.7230769230769
"176","GUWAHATI / BORJHAR(A)","42410",1994,"DJF","Prec",5.48888888888889
"177","GUWAHATI / BORJHAR(A)","42410",1995,"DJF","Prec",2.3
"178","GUWAHATI / BORJHAR(A)","42410",1996,"DJF","Prec",6.91666666666667
"179","GUWAHATI / BORJHAR(A)","42410",1997,"DJF","Prec",0.703333333333333
"180","GUWAHATI / BORJHAR(A)","42410",1998,"DJF","Prec",0.144318181818182
"181","GUWAHATI / BORJHAR(A)","42410",1999,"DJF","Prec",0.01
"182","GUWAHATI / BORJHAR(A)","42410",2000,"DJF","Prec",0.307692307692308
"183","GUWAHATI / BORJHAR(A)","42410",2001,"DJF","Prec",0.438888888888889
"184","GUWAHATI / BORJHAR(A)","42410",2002,"DJF","Prec",0.206666666666667
"185","GUWAHATI / BORJHAR(A)","42410",2003,"DJF","Prec",0.650574712643678
"186","GUWAHATI / BORJHAR(A)","42410",2004,"DJF","Prec",0.216483516483516
"187","GUWAHATI / BORJHAR(A)","42410",2005,"DJF","Prec",0.253409090909091
